2000i.cn,0,0,2
123shsd.com,1,1,1
4000402887.com,1,1,2
024yhbaby.com,0,0,2
51sjst.com,1,1,2
0769-jc.com,1,1,1
52black.com,0,0,2
51youxiao.com,0,0,2
024nb.com,0,0,3
4007360036.com,0,0,2
201hy.cn,1,1,1
52or.com.cn,260,10,1
315ck.com,1,1,1
aazzyy520.cn,4,4,1
51zhenli.com,1,1,1
abcdef12588.cn,1,1,1
88sheng.com.cn,1,1,1
abcda88.com,1,1,1
ab-alu.cn,587,10,1
91dalishi.com,0,0,2
aobohj.com,1,1,2
aipu-cable.com,1,1,3
allybo.com,1,1,1
anbishin.com,0,0,2
apgy365.cn,1,1,1
asczm.com,0,0,2
aibosj.com,0,0,2
baoshengjc.com,1,1,1
antonyiwu.com,1,1,1
bags99.com.cn,1,1,1
52jkml.com,0,0,2
asyafeng.com,1,1,1
860411xh.com,1,1,1
ambipiao.cn,0,0,2
bi-gao.com,1,1,1
bioelitecn.com,1,1,1
bhwtex.com,0,0,2
biwin-gift.com,0,0,2
9jsk.com,1,1,1
82035806.com,2,2,1
bj-uw.com,1,1,1
ainiaosi.com,0,0,2
bc-foods.com,0,0,2
bjamir.com,1,1,1
bjskfnsk.com,0,0,2
apaclyc.com,1,1,1
bjjuejin.com,0,0,2
bochi88.com,1,1,1
bjxpjy98.com,5,5,1
bq710.com,0,0,2
aixingelec.com,0,0,2
bsm0731.com,1,1,1
bjstxsd.com,0,0,2
bohai56.com,2,2,1
bdsmdcx.cn,1,1,1
bopptape.cn,1,1,1
0576-laser.com,0,0,2
caihuidiy.com,2,2,1
bjsantachi.com,2,2,1
bonheur.net.cn,1,1,1
cclykj.com,0,0,2
0731joy.com,0,0,2
086mlyz.com,1,1,2
ccscan.com.cn,1,1,1
cdma1xcn.com,0,0,2
caizhidz.cn,1,1,1
cameralee.com,1,1,1
7pincafe.com,0,0,2
benj99.com,1,1,1
bearing-1.com,1,1,1
cfxjzyc.com,1,1,1
cfguangy.com,1,1,1
anterhy.com,1,1,1
cgbxgcl.com,0,0,3
aomigg.com,0,0,2
catly.net.cn,1,1,1
cdchzz.com.cn,1,1,1
chaotsian.com,1,1,1
chinajcfj.com,0,0,2
chinaholta.com,0,0,2
china-zthb.com,1,1,2
chinabien.com,0,0,2
chuanyeled.com,0,0,2
china-dfb.com,1,1,1
cn-huaqing.com,0,0,2
chunhuixl.com,0,0,2
bishengpx.com,2,2,1
cnguogang.com,0,0,2
cnguider.com,1,1,1
chu-yun.com,1,1,1
chinacyv.com,0,0,2
chinawacom.cn,0,0,2
chinasqhr.com,1,1,1
bc1178.com,1,1,1
cnlg82.cn,1,1,1
cnweinisi.com,1,1,1
cnhuihai.com,1,1,2
bjlemei.com,0,0,2
cn-heat.com,1,1,1
cnmoonlake.com,1,1,1
cnkaisi.com,1,1,1
cnzxhg.com,1,1,1
cnyxtex.com.cn,1,1,1
cnszcf.com,0,0,2
bjls56.com,1,1,1
cn-model.com,0,0,2
cnmaiqi.com,2,2,1
cnwdzy.com,0,0,2
cm010.com,0,0,3
chinaairbag.cn,0,0,2
cnkyi.com,0,0,2
biyanzhong.cn,760,10,1
024fengyun.com,1,1,1
coopoll.com,1,1,1
csduli.com,1,1,1
cqzdhl.com,1,1,2
cnchanjuan.com,13,10,1
cscqmm.com,0,0,2
cskujie.com,2,2,1
bxfoods.com,0,0,2
52todsy.com,1,1,1
cslcdz.com,0,0,2
cs1818.com.cn,1,1,1
cspd168.cn,1,1,1
csgadz.com,1,1,1
cqpqsb.com,0,0,2
csjiafu.net,0,0,2
cslhztss.com,0,0,2
cszhongjia.com,6,6,1
bfkyjc.com,20,10,1
czfurong.cn,1,1,1
czjcqp.com.cn,1,1,1
csjdsoft.com,0,0,3
cssaike.com,0,0,2
cycncorp.com,1,1,1
cslhkj.com,2,2,1
daikin100.com,1,1,1
DABOKing.cn,19,10,1
dbcglw.com,0,0,2
dameibicai.com,0,0,2
dahuaspjx.com,1,1,2
dadiqiche.com,1,1,1
czjqmm.com,0,0,2
czsanjie.com,2,2,3
dc-adc.com.cn,1,1,1
cxxsy.net.cn,1,1,1
cxjfgy.com,1,1,1
czhhxsy.com.cn,1,1,1
csmiaopu.com,1,1,1
dachengxy.cn,1,1,1
dazhongdq.com,0,0,2
cnzjxm.com,1,1,1
caigoo.com.cn,39,10,1
desheng999.cn,1,1,1
daweifuse.cn,0,0,2
cdwxtx.com,1,1,2
